name,mid_yield,bid_yield,ask_yield,issue_size,rating,ticker,g_spread,liquidity,volatility,maturity,duration,bidask_spread
AZ660628 Corp,5.327857631759069,1.066,1.052,1500000000.0,AAA,IADB,10.7062,98.0,2.5788846015930176,5.327857631759069,5.071367919129872,0.014000000000000012
JK856834 Corp,5.089664613278576,1.127,1.092,1000000000.0,A+,ONT,21.61097,98.0,2.7943992614746094,5.089664613278576,4.7758044948231415,0.03499999999999992
AW877781 Corp,0.8542094455852156,0.248,0.201,1500000000.0,AA+,OKB,16.46727,98.0,0.2330157607793808,0.8542094455852156,0.8408207546534101,0.046999999999999986
EK750986 Corp,0.917180013689254,0.211,0.137,1000000000.0,NR,EBRD,11.24426,91.0,0.19301097095012665,0.917180013689254,0.9065060372619084,0.07399999999999998
EK737497 Corp,0.8870636550308009,0.217,0.169,3500000000.0,AA,CADES,13.33059,97.0,0.17434170842170715,0.8870636550308009,0.8759476393038645,0.04799999999999999
ZR347930 Corp,1.4510609171800137,0.205,0.17,3000000000.0,AAA,EIB,8.086361,99.0,0.25722944736480713,1.4510609171800137,1.4371027046849394,0.034999999999999976
EK600559 Corp,3.6577686516084875,0.585,0.561,5000000000.0,AAA,KFW,6.731378,99.0,1.1773015260696411,3.6577686516084875,3.491544249982769,0.02399999999999991
EK076245 Corp,2.9103353867214237,0.409,0.383,3450000000.0,AAA,IADB,8.743144,99.0,0.831940770149231,2.9103353867214237,2.801639704096994,0.025999999999999968
AX417633 Corp,0.9500342231348392,0.266,0.245,2000000000.0,AAA,CADEPO,18.92868,92.0,0.21573606133460999,0.9500342231348392,0.9433008021586187,0.02100000000000002
ZP845257 Corp,2.138261464750171,0.257,0.229,3000000000.0,AAA,EIB,6.150977,99.0,0.4975251257419586,2.138261464750171,2.1055383823179152,0.027999999999999997
ZR348445 Corp,3.3648186173853527,0.498,0.484,3000000000.0,AAA,KFW,6.526356,98.0,1.0103285312652588,3.3648186173853527,3.2915267183877046,0.014000000000000012
BG740687 Corp,1.9849418206707734,0.337,0.301,1000000000.0,AAA,IFC,18.01071,84.0,0.7238976955413818,1.9849418206707734,1.9786579397714263,0.03600000000000003
BH402538 Corp,4.024640657084189,0.693,0.67,2000000000.0,AAA,IADB,7.511312,98.0,1.4114799499511719,4.024640657084189,3.945020573445561,0.02299999999999991
EI871954 Corp,0.6461327857631759,0.422,0.301,750000000.0,AA-,KDB,32.44741,61.0,0.3048907220363617,0.6461327857631759,0.6305967328533331,0.121
AQ324275 Corp,0.7200547570157426,0.198,0.031,1000000000.0,AAA,IBRD,6.578853,94.0,0.21404512226581573,0.7200547570157426,0.7114619664951412,0.167
ZQ051895 Corp,1.6427104722792607,0.428,0.332,1000000000.0,A,BNS,25.7803,74.0,0.5454333424568176,1.6427104722792607,1.609918734706997,0.09599999999999997
AW711129 Corp,2.830937713894593,0.501,0.463,1750000000.0,A+,ALTA,19.17595,98.0,0.8481464385986328,2.830937713894593,2.725300072044814,0.03799999999999998
EJ545866 Corp,1.88911704312115,0.345,0.311,1250000000.0,AA-,Q,18.36133,95.0,0.5444561243057251,1.88911704312115,1.8457852412480862,0.033999999999999975
AX419378 Corp,0.9500342231348392,0.261,0.21,2000000000.0,AAA,CADEPO,18.14784,92.0,0.24339067935943604,0.9500342231348392,0.9433014685011827,0.05100000000000002
LW223775 Corp,5.188227241615332,1.052,1.014,2250000000.0,AAA,IADB,11.4787,98.0,2.428877353668213,5.188227241615332,4.929919624518202,0.038000000000000034
BH455816 Corp,1.0349075975359343,0.205,0.162,4500000000.0,AAA,ASIA,11.30515,98.0,0.1856781244277954,1.0349075975359343,1.0286823647736738,0.04299999999999998
ZP988502 Corp,3.9041752224503763,1.135,1.066,750000000.0,AA-,KDB,53.93972,77.0,1.7124344110488892,3.9041752224503763,3.77969744044222,0.06899999999999995
AM358861 Corp,0.8761122518822724,0.263,0.202,2500000000.0,A+,ONT,17.54014,96.0,0.2137766182422638,0.8761122518822724,0.8635785421548651,0.061
EK685342 Corp,3.811088295687885,0.637,0.61,3400000000.0,AAA,IADB,7.47865,99.0,1.3772162199020386,3.811088295687885,3.666428553970324,0.027000000000000024
ZO599812 Corp,2.513347022587269,0.39,0.357,1250000000.0,AA+,SEK,12.81822,93.0,0.7367838025093079,2.513347022587269,2.501742361231112,0.03300000000000003
TT313433 Corp,1.8206707734428473,0.244,0.202,1250000000.0,AAA,IBRD,8.086598,94.0,0.5998559594154358,1.8206707734428473,1.7172003903362123,0.04199999999999998
JK837637 Corp,5.08145106091718,0.995,0.962,1000000000.0,AAA,ASIA,8.678719,95.0,2.429107904434204,5.08145106091718,4.824816784611599,0.03300000000000003
AW584274 Corp,2.811772758384668,0.397,0.363,4000000000.0,AAA,IADB,8.652174,99.0,0.7934116721153259,2.811772758384668,2.7164796119552013,0.03400000000000003
AU605194 Corp,2.507871321013005,0.34,0.298,4000000000.0,AAA,IBRD,7.571814,99.0,0.6480429172515869,2.507871321013005,2.401778706537647,0.04200000000000004
AW780349 Corp,2.847364818617385,0.484,0.441,2500000000.0,A+,ONT,16.41248,98.0,0.9157171249389648,2.847364818617385,2.7388217922332845,0.04299999999999998
AU370360 Corp,0.7255304585900069,0.169,0.135,3000000000.0,NR,EIB,10.27422,97.0,0.25534847378730774,0.7255304585900069,0.7152307229591676,0.034
AX183505 Corp,2.9048596851471595,0.547,0.461,500000000.0,AA-,KDB,20.64431,85.0,0.672258734703064,2.9048596851471595,2.7879902957368765,0.08600000000000002
ZS521230 Corp,3.249828884325804,0.473,0.45,3000000000.0,AAA,EIB,6.678927,99.0,0.9774284362792969,3.249828884325804,3.1366796171720503,0.022999999999999965
EK847160 Corp,1.054072553045859,0.2,0.137,3100000000.0,AAA,IADB,9.544692,98.0,0.2818102240562439,1.054072553045859,1.0399712321107177,0.063
